Date,Product,Category,Sales
2026-01-01,Laptop,Electronics,55000
2026-01-02,Mouse,Electronics,2100
2026-01-03,Chair,Furniture,10000
2026-01-04,Monitor,Electronics,30000
2026-01-05,Table,Furniture,16000
2026-01-06,Laptop,Electronics,110000
2026-01-07,Keyboard,Electronics,6000
2026-01-08,Sofa,Furniture,35000
2026-01-09,Monitor,Electronics,15000
2026-01-10,Chair,Furniture,12500
2026-01-11,Laptop,Electronics,55000
2026-01-12,Mouse,Electronics,1400
2026-01-13,Table,Furniture,8000
2026-01-14,Monitor,Electronics,15000
2026-01-15,Sofa,Furniture,35000
