Date,Product,Category,Sales,Year,Month,Day,DayName
2026-01-01,Laptop,Electronics,55000,2026,1,1,Thursday
2026-01-02,Mouse,Electronics,2100,2026,1,2,Friday
2026-01-03,Chair,Furniture,10000,2026,1,3,Saturday
2026-01-04,Monitor,Electronics,30000,2026,1,4,Sunday
2026-01-05,Table,Furniture,16000,2026,1,5,Monday
2026-01-06,Laptop,Electronics,110000,2026,1,6,Tuesday
2026-01-07,Keyboard,Electronics,6000,2026,1,7,Wednesday
2026-01-08,Sofa,Furniture,35000,2026,1,8,Thursday
2026-01-09,Monitor,Electronics,15000,2026,1,9,Friday
2026-01-10,Chair,Furniture,12500,2026,1,10,Saturday
2026-01-11,Laptop,Electronics,55000,2026,1,11,Sunday
2026-01-12,Mouse,Electronics,1400,2026,1,12,Monday
2026-01-13,Table,Furniture,8000,2026,1,13,Tuesday
2026-01-14,Monitor,Electronics,15000,2026,1,14,Wednesday
2026-01-15,Sofa,Furniture,35000,2026,1,15,Thursday
