Date,Product,Category,Sales,Year,Month,Day,DayName,MovingAverage,CumulativeSales,DailyChange
2026-01-01,Laptop,Electronics,55000,2026,1,1,Thursday,,55000,
2026-01-02,Mouse,Electronics,2100,2026,1,2,Friday,,57100,-52900.0
2026-01-03,Chair,Furniture,10000,2026,1,3,Saturday,22366.666666666668,67100,7900.0
2026-01-04,Monitor,Electronics,30000,2026,1,4,Sunday,14033.333333333334,97100,20000.0
2026-01-05,Table,Furniture,16000,2026,1,5,Monday,18666.666666666668,113100,-14000.0
2026-01-06,Laptop,Electronics,110000,2026,1,6,Tuesday,52000.0,223100,94000.0
2026-01-07,Keyboard,Electronics,6000,2026,1,7,Wednesday,44000.0,229100,-104000.0
2026-01-08,Sofa,Furniture,35000,2026,1,8,Thursday,50333.333333333336,264100,29000.0
2026-01-09,Monitor,Electronics,15000,2026,1,9,Friday,18666.666666666668,279100,-20000.0
2026-01-10,Chair,Furniture,12500,2026,1,10,Saturday,20833.333333333332,291600,-2500.0
2026-01-11,Laptop,Electronics,55000,2026,1,11,Sunday,27500.0,346600,42500.0
2026-01-12,Mouse,Electronics,1400,2026,1,12,Monday,22966.666666666668,348000,-53600.0
2026-01-13,Table,Furniture,8000,2026,1,13,Tuesday,21466.666666666668,356000,6600.0
2026-01-14,Monitor,Electronics,15000,2026,1,14,Wednesday,8133.333333333333,371000,7000.0
2026-01-15,Sofa,Furniture,35000,2026,1,15,Thursday,19333.333333333332,406000,20000.0
