product_category_name_english,Orders,Items,Revenue
health_beauty,8836,9670,1441248.07
watches_gifts,5624,5991,1305541.61
bed_bath_table,9417,11115,1241681.72
sports_leisure,7720,8641,1156656.48
computers_accessories,6689,7827,1059272.4
furniture_decor,6449,8334,902511.79
housewares,5884,6964,778397.77
cool_stuff,3632,3796,719329.95
auto,3897,4235,685384.32
garden_tools,3518,4347,584219.21
toys,3886,4117,561372.55
baby,2885,3065,480118.0
perfumery,3162,3419,453338.71
telephony,4199,4545,394883.32
office_furniture,1273,1691,342532.65
stationery,2311,2517,277741.71
pet_shop,1710,1947,253876.65
computers,181,203,232799.43
musical_instruments,628,680,210137.37
electronics,2550,2767,206825.06
small_appliances,630,679,206668.83
fashion_bags_accessories,1864,2031,184273.54
consoles_games,1062,1137,177293.24
luggage_accessories,1034,1092,170875.21
construction_tools_construction,748,929,165328.0
home_appliances_2,234,238,123917.92
home_construction,490,604,96920.36
home_appliances,764,771,94990.43000000001
furniture_living_room,422,503,86884.73
agro_industry_and_commerce,182,212,78374.07
home_confort,397,434,67073.27
fixed_telephony,217,264,64220.81
air_conditioning,253,297,61774.19
kitchen_dining_laundry_garden_furniture,248,281,58327.8
audio,350,364,56398.94
books_general_interest,512,553,56052.4
small_appliances_home_oven_and_coffee,75,76,50193.57
construction_tools_lights,244,304,48663.8
industry_commerce_and_business,235,268,47554.29
construction_tools_safety,167,194,44463.62
food,450,510,36664.44
market_place,280,311,33834.53
costruction_tools_garden,194,238,31027.29
fashion_shoes,240,262,28481.64
art,202,209,28247.81
drinks,297,379,28169.95
signaling_and_security,140,199,28017.05
furniture_bedroom,95,109,24661.01
books_technical,260,267,23379.12
food_drink,227,278,19687.47
costruction_tools_tools,97,103,17934.170000000002
fashion_male_clothing,112,132,12950.23
christmas_supplies,128,153,12030.12
fashion_underwear_beach,121,131,11457.74
tablets_printing_image,79,83,8754.61
cine_photo,65,72,8189.66
dvds_blu_ray,59,64,7288.13
music,38,38,6724.860000000001
furniture_mattress_and_upholstery,38,38,5998.54
books_imported,53,60,5409.7
party_supplies,39,43,5313.150000000001
fashio_female_clothing,39,48,3425.39
fashion_sport,27,30,2697.64
la_cuisine,13,14,2388.54
arts_and_craftmanship,23,24,2184.1400000000003
diapers_and_hygiene,27,39,2141.27
flowers,29,33,1598.91
home_comfort_2,24,30,1170.58
cds_dvds_musicals,12,14,954.99
fashion_childrens_clothes,8,8,665.36
security_and_services,2,2,324.51
