Month,Revenue
2016-09-30,354.75
2016-10-31,56808.840000000004
2016-11-30,0.0
2016-12-31,19.62
2017-01-31,137188.49
2017-02-28,286280.62
2017-03-31,432048.59
2017-04-30,412422.24
2017-05-31,586190.95
2017-06-30,502963.04
2017-07-31,584971.62
2017-08-31,668204.6
2017-09-30,720398.91
2017-10-31,769312.37
2017-11-30,1179143.77
2017-12-31,863547.23
2018-01-31,1107301.89
2018-02-28,986908.96
2018-03-31,1155126.82
2018-04-30,1159698.04
2018-05-31,1149781.82
2018-06-30,1022677.11
2018-07-31,1058728.03
2018-08-31,1003308.47
2018-09-30,166.46
2018-10-31,0.0
